job_id,run_type,k_screened,factor_count,control_ids_used,dropped_controls,estimates_path,rows_written,warning_rows,weak_instrument_rows,avg_abs_beta,avg_n
tdc_lpiv_deposits_qra_bank_foreign_private_corr,baseline_core,0,0,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_bank_foreign_private_corr_l1,,/output/models/tdc_lpiv_deposits_qra_bank_foreign_private_corr__robustness_baseline_estimates.csv,10,10,10,1.54322,65.0
tdc_lpiv_deposits_qra_bank_foreign_private_corr,factor_screen,100,4,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_bank_foreign_private_corr_l1;dflmx_k100_f1;dflmx_k100_f2;dflmx_k100_f3;dflmx_k100_f4,,/output/models/tdc_lpiv_deposits_qra_bank_foreign_private_corr__robustness_k100_estimates.csv,10,10,10,3.650588,65.0
tdc_lpiv_deposits_qra_bank_foreign_private_corr,factor_screen,200,4,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_bank_foreign_private_corr_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,/output/models/tdc_lpiv_deposits_qra_bank_foreign_private_corr__robustness_k200_estimates.csv,10,10,10,3.082647,65.0
tdc_lpiv_deposits_qra_bank_foreign_private_corr,factor_screen,300,4,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_bank_foreign_private_corr_l1;dflmx_k300_f1;dflmx_k300_f2;dflmx_k300_f3;dflmx_k300_f4,,/output/models/tdc_lpiv_deposits_qra_bank_foreign_private_corr__robustness_k300_estimates.csv,10,10,10,3.311873,65.0
